date,nav,amfi_code,scheme_name,scheme_category,scheme_type,fund_house,daily_return_pct
2013-01-02,103.0059,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,
2013-01-03,103.0306,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.023979208957936038
2013-01-04,103.0619,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.03037932420075773
2013-01-07,103.1408,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.07655593386111104
2013-01-08,103.1663,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.02472348478972375
2013-01-09,103.1897,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.022681825363513042
2013-01-10,103.2132,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.022773590775049257
2013-01-11,103.2385,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.02451236857301531
2013-01-14,103.3225,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.08136499464832525
2013-01-15,102.9223,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,-0.38733092985554496
2013-01-16,102.9421,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.019237813379602287
2013-01-17,102.9691,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.026228336122935403
2013-01-18,102.9932,119551,Aditya Birla Sun Life Banking & PSU Debt Fund  - DIRECT - IDCW,Debt Scheme - Banking and PSU Fund,Open Ended Schemes,Aditya Birla Sun Life Mutual Fund,0.02340507977636186
