company_id,year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_assets,total_assets
1,Mar 2010,100.0,2617.15,1046.86,523.43,4287.44,2143.72,214.37,857.49,1071.86,4287.44
1,Mar 2011,100.0,2931.21,1172.48,586.24,4789.93,2394.97,239.5,957.99,1197.47,4789.93
1,Mar 2012,100.0,3282.95,1313.18,656.59,5352.72,2676.36,267.64,1070.54,1338.18,5352.72
1,Mar 2013,100.0,3676.9,1470.76,735.38,5983.04,2991.52,299.15,1196.61,1495.76,5983.04
1,Mar 2014,100.0,4118.13,1647.25,823.63,6689.01,3344.51,334.45,1337.8,1672.25,6689.01
1,Mar 2015,100.0,4612.31,1844.92,922.46,7479.69,3739.84,373.98,1495.94,1869.93,7479.69
1,Mar 2016,100.0,5165.79,2066.32,1033.16,8365.27,4182.64,418.26,1673.05,2091.32,8365.27
1,Mar 2017,100.0,5785.68,2314.27,1157.14,9357.09,4678.55,467.85,1871.42,2339.27,9357.09
1,Mar 2018,100.0,6479.96,2591.98,1295.99,10467.93,5233.97,523.4,2093.59,2616.97,10467.93
1,Mar 2019,100.0,7257.56,2903.02,1451.51,11712.09,5856.05,585.6,2342.42,2928.02,11712.09
1,Mar 2020,100.0,8128.46,3251.38,1625.69,13105.53,6552.77,655.28,2621.11,3276.37,13105.53
1,Mar 2021,100.0,9103.88,3641.55,1820.78,14666.21,7333.1,733.31,2933.24,3666.56,14666.21
1,Mar 2022,100.0,10196.35,4078.54,2039.27,16414.16,8207.08,820.71,3282.83,4103.54,16414.16
1,Mar 2023,100.0,11419.91,4567.96,2283.98,18371.85,9185.92,918.59,3674.37,4592.97,18371.85
1,Mar 2024,100.0,12790.3,5116.12,2558.06,20564.48,10282.24,1028.22,4112.9,5141.12,20564.48
2,Mar 2010,100.0,3137.89,1255.16,627.58,5120.63,2560.32,256.03,1024.13,1280.15,5120.63
2,Mar 2011,100.0,3514.44,1405.78,702.89,5723.11,2861.55,286.16,1144.62,1430.78,5723.11
2,Mar 2012,100.0,3936.17,1574.47,787.23,6397.87,3198.93,319.89,1279.57,1599.48,6397.87
2,Mar 2013,100.0,4408.51,1763.4,881.7,7153.61,3576.8,357.68,1430.72,1788.41,7153.61
2,Mar 2014,100.0,4937.53,1975.01,987.51,8000.05,4000.03,400.0,1600.01,2000.01,8000.05
2,Mar 2015,100.0,5530.03,2212.01,1106.01,8948.05,4474.02,447.4,1789.61,2237.02,8948.05
2,Mar 2016,100.0,6193.64,2477.46,1238.73,10009.83,5004.91,500.49,2001.97,2502.46,10009.83
2,Mar 2017,100.0,6936.87,2774.75,1387.37,11198.99,5599.49,559.95,2239.8,2799.75,11198.99
2,Mar 2018,100.0,7769.3,3107.72,1553.86,12530.88,6265.44,626.54,2506.18,3132.72,12530.88
2,Mar 2019,100.0,8701.62,3480.65,1740.32,14022.59,7011.3,701.13,2804.52,3505.64,14022.59
2,Mar 2020,100.0,9745.81,3898.32,1949.16,15693.29,7846.65,784.66,3138.66,3923.32,15693.29
2,Mar 2021,100.0,10915.31,4366.12,2183.06,17564.49,8782.25,878.22,3512.9,4391.12,17564.49
2,Mar 2022,100.0,12225.14,4890.06,2445.03,19660.23,9830.11,983.01,3932.05,4915.06,19660.23
2,Mar 2023,100.0,13692.16,5476.86,2738.43,22007.45,11003.73,1100.37,4401.49,5501.86,22007.45
2,Mar 2024,100.0,15335.22,6134.09,3067.04,24636.35,12318.17,1231.82,4927.27,6159.09,24636.35
3,Mar 2010,100.0,9742.56,3897.02,1948.51,15688.09,7844.05,784.4,3137.62,3922.02,15688.09
3,Mar 2011,100.0,10911.66,4364.66,2182.33,17558.65,8779.33,877.93,3511.73,4389.66,17558.65
3,Mar 2012,100.0,12221.06,4888.42,2444.21,19653.69,9826.84,982.68,3930.74,4913.43,19653.69
3,Mar 2013,100.0,13687.59,5475.04,2737.52,22000.15,11000.08,1100.01,4400.03,5500.03,22000.15
3,Mar 2014,100.0,15330.1,6132.04,3066.02,24628.16,12314.08,1231.41,4925.63,6157.04,24628.16
3,Mar 2015,100.0,17169.71,6867.88,3433.94,27571.53,13785.76,1378.58,5514.31,6892.88,27571.53
3,Mar 2016,100.0,19230.08,7692.03,3846.02,30868.13,15434.07,1543.41,6173.63,7717.02,30868.13
3,Mar 2017,100.0,21537.69,8615.08,4307.54,34560.31,17280.15,1728.02,6912.06,8640.08,34560.31
3,Mar 2018,100.0,24122.21,9648.88,4824.44,38695.53,19347.76,1934.78,7739.11,9673.88,38695.53
3,Mar 2019,100.0,27016.87,10806.75,5403.37,43326.99,21663.49,2166.35,8665.4,10831.75,43326.99
3,Mar 2020,100.0,30258.9,12103.56,6051.78,48514.24,24257.12,2425.71,9702.85,12128.56,48514.24
3,Mar 2021,100.0,33889.97,13555.99,6777.99,54323.95,27161.97,2716.2,10864.79,13580.99,54323.95
3,Mar 2022,100.0,37956.76,15182.7,7591.35,60830.81,30415.4,3041.54,12166.16,15207.71,60830.81
3,Mar 2023,100.0,42511.58,17004.63,8502.32,68118.53,34059.26,3405.93,13623.71,17029.63,68118.53
3,Mar 2024,100.0,47612.96,19045.18,9522.59,76280.73,38140.36,3814.04,15256.15,19070.18,76280.73
4,Mar 2010,100.0,2628.79,1051.52,525.76,4306.07,2153.03,215.3,861.21,1076.53,4306.07
4,Mar 2011,100.0,2944.25,1177.7,588.85,4810.8,2405.4,240.54,962.16,1202.7,4810.8
4,Mar 2012,100.0,3297.56,1319.02,659.51,5376.09,2688.05,268.8,1075.22,1344.02,5376.09
4,Mar 2013,100.0,3693.26,1477.3,738.65,6009.21,3004.61,300.46,1201.84,1502.3,6009.21
4,Mar 2014,100.0,4136.46,1654.58,827.29,6718.33,3359.16,335.92,1343.67,1679.58,6718.33
4,Mar 2015,100.0,4632.83,1853.13,926.57,7512.53,3756.26,375.63,1502.51,1878.13,7512.53
4,Mar 2016,100.0,5188.77,2075.51,1037.75,8402.03,4201.02,420.1,1680.41,2100.5,8402.03
4,Mar 2017,100.0,5811.42,2324.57,1162.28,9398.27,4699.14,469.91,1879.65,2349.57,9398.27
4,Mar 2018,100.0,6508.79,2603.52,1301.76,10514.07,5257.03,525.7,2102.81,2628.53,10514.07
4,Mar 2019,100.0,7289.85,2915.94,1457.97,11763.76,5881.88,588.19,2352.75,2940.94,11763.76
4,Mar 2020,100.0,8164.63,3265.85,1632.93,13163.41,6581.7,658.17,2632.68,3290.86,13163.41
4,Mar 2021,100.0,9144.39,3657.76,1828.88,14731.03,7365.52,736.55,2946.21,3682.75,14731.03
4,Mar 2022,100.0,10241.71,4096.68,2048.34,16486.73,8243.36,824.34,3297.35,4121.68,16486.73
4,Mar 2023,100.0,11470.72,4588.29,2294.14,18453.15,9226.58,922.66,3690.63,4613.28,18453.15
4,Mar 2024,100.0,12847.2,5138.88,2569.44,20655.52,10327.76,1032.78,4131.1,5163.88,20655.52
5,Mar 2010,100.0,8689.47,3475.79,1737.89,14003.15,7001.57,700.16,2800.63,3500.79,14003.15
5,Mar 2011,100.0,9732.2,3892.88,1946.44,15671.52,7835.76,783.58,3134.3,3917.88,15671.52
5,Mar 2012,100.0,10900.07,4360.03,2180.01,17540.11,8770.06,877.01,3508.02,4385.02,17540.11
5,Mar 2013,100.0,12208.07,4883.23,2441.61,19632.91,9816.45,981.65,3926.58,4908.23,19632.91
5,Mar 2014,100.0,13673.04,5469.22,2734.61,21976.87,10988.43,1098.84,4395.37,5494.23,21976.87
5,Mar 2015,100.0,15313.81,6125.52,3062.76,24602.09,12301.05,1230.1,4920.42,6150.52,24602.09
5,Mar 2016,100.0,17151.46,6860.58,3430.29,27542.33,13771.17,1377.12,5508.47,6885.57,27542.33
5,Mar 2017,100.0,19209.64,7683.86,3841.93,30835.43,15417.72,1541.77,6167.09,7708.85,30835.43
5,Mar 2018,100.0,21514.8,8605.92,4302.96,34523.68,17261.84,1726.18,6904.74,8630.92,34523.68
5,Mar 2019,100.0,24096.57,9638.63,4819.31,38654.51,19327.26,1932.73,7730.9,9663.62,38654.51
5,Mar 2020,100.0,26988.16,10795.26,5397.63,43281.05,21640.53,2164.05,8656.21,10820.26,43281.05
5,Mar 2021,100.0,30226.74,12090.7,6045.35,48462.79,24231.4,2423.14,9692.56,12115.69,48462.79
5,Mar 2022,100.0,33853.95,13541.58,6770.79,54266.32,27133.16,2713.32,10853.26,13566.58,54266.32
5,Mar 2023,100.0,37916.42,15166.57,7583.28,60766.27,30383.13,3038.31,12153.25,15191.58,60766.27
5,Mar 2024,100.0,42466.4,16986.56,8493.28,68046.24,34023.12,3402.31,13609.25,17011.56,68046.24
6,Mar 2010,100.0,5430.5,2172.2,1086.1,8788.8,4394.4,439.44,1757.76,2197.2,8788.8
6,Mar 2011,100.0,6082.16,2432.86,1216.43,9831.45,4915.73,491.57,1966.29,2457.86,9831.45
6,Mar 2012,100.0,6812.02,2724.81,1362.4,10999.23,5499.61,549.96,2199.85,2749.81,10999.23
6,Mar 2013,100.0,7629.46,3051.78,1525.89,12307.13,6153.56,615.36,2461.43,3076.78,12307.13
6,Mar 2014,100.0,8545.0,3418.0,1709.0,13772.0,6886.0,688.6,2754.4,3443.0,13772.0
6,Mar 2015,100.0,9570.4,3828.16,1914.08,15412.64,7706.32,770.63,3082.53,3853.16,15412.64
6,Mar 2016,100.0,10718.85,4287.54,2143.77,17250.16,8625.08,862.51,3450.03,4312.54,17250.16
6,Mar 2017,100.0,12005.11,4802.04,2401.02,19308.17,9654.08,965.41,3861.63,4827.05,19308.17
6,Mar 2018,100.0,13445.72,5378.29,2689.14,21613.15,10806.58,1080.66,4322.63,5403.28,21613.15
6,Mar 2019,100.0,15059.21,6023.68,3011.84,24194.73,12097.36,1209.74,4838.95,6048.68,24194.73
6,Mar 2020,100.0,16866.31,6746.52,3373.26,27086.09,13543.05,1354.3,5417.22,6771.52,27086.09
6,Mar 2021,100.0,18890.27,7556.11,3778.05,30324.43,15162.22,1516.22,6064.89,7581.1,30324.43
6,Mar 2022,100.0,21157.1,8462.84,4231.42,33951.36,16975.68,1697.57,6790.27,8487.84,33951.36
6,Mar 2023,100.0,23695.95,9478.38,4739.19,38013.52,19006.76,1900.68,7602.7,9503.38,38013.52
6,Mar 2024,100.0,26539.47,10615.79,5307.89,42563.15,21281.58,2128.16,8512.63,10640.78,42563.15
7,Mar 2010,100.0,3225.08,1290.03,645.02,5260.13,2630.07,263.01,1052.03,1315.02,5260.13
7,Mar 2011,100.0,3612.09,1444.84,722.42,5879.35,2939.68,293.97,1175.87,1469.83,5879.35
7,Mar 2012,100.0,4045.54,1618.22,809.11,6572.87,3286.43,328.64,1314.57,1643.23,6572.87
7,Mar 2013,100.0,4531.0,1812.4,906.2,7349.6,3674.8,367.48,1469.92,1837.4,7349.6
7,Mar 2014,100.0,5074.73,2029.89,1014.95,8219.57,4109.78,410.98,1643.91,2054.9,8219.57
7,Mar 2015,100.0,5683.69,2273.48,1136.74,9193.91,4596.95,459.7,1838.78,2298.48,9193.91
7,Mar 2016,100.0,6365.74,2546.3,1273.15,10285.19,5142.6,514.26,2057.04,2571.29,10285.19
7,Mar 2017,100.0,7129.62,2851.85,1425.92,11507.39,5753.69,575.37,2301.48,2876.85,11507.39
7,Mar 2018,100.0,7985.18,3194.07,1597.04,12876.29,6438.15,643.81,2575.26,3219.07,12876.29
7,Mar 2019,100.0,8943.4,3577.36,1788.68,14409.44,7204.72,720.47,2881.89,3602.36,14409.44
7,Mar 2020,100.0,10016.61,4006.64,2003.32,16126.57,8063.28,806.33,3225.31,4031.65,16126.57
7,Mar 2021,100.0,11218.6,4487.44,2243.72,18049.76,9024.88,902.49,3609.95,4512.44,18049.76
7,Mar 2022,100.0,12564.83,5025.93,2512.97,20203.73,10101.86,1010.19,4040.75,5050.93,20203.73
7,Mar 2023,100.0,14072.61,5629.04,2814.52,22616.17,11308.08,1130.81,4523.23,5654.05,22616.17
7,Mar 2024,100.0,15761.33,6304.53,3152.27,25318.13,12659.07,1265.91,5063.63,6329.52,25318.13
8,Mar 2010,100.0,8836.75,3534.7,1767.35,14238.8,7119.4,711.94,2847.76,3559.7,14238.8
8,Mar 2011,100.0,9897.16,3958.86,1979.43,15935.45,7967.73,796.77,3187.09,3983.86,15935.45
8,Mar 2012,100.0,11084.82,4433.93,2216.96,17835.71,8917.85,891.79,3567.14,4458.93,17835.71
8,Mar 2013,100.0,12415.0,4966.0,2483.0,19964.0,9982.0,998.2,3992.8,4991.0,19964.0
8,Mar 2014,100.0,13904.8,5561.92,2780.96,22347.68,11173.84,1117.38,4469.54,5586.92,22347.68
8,Mar 2015,100.0,15573.37,6229.35,3114.67,25017.39,12508.69,1250.87,5003.48,6254.35,25017.39
8,Mar 2016,100.0,17442.18,6976.87,3488.44,28007.49,14003.75,1400.37,5601.5,7001.87,28007.49
8,Mar 2017,100.0,19535.24,7814.1,3907.05,31356.39,15678.19,1567.82,6271.28,7839.1,31356.39
8,Mar 2018,100.0,21879.47,8751.79,4375.89,35107.15,17553.58,1755.36,7021.43,8776.78,35107.15
8,Mar 2019,100.0,24505.0,9802.0,4901.0,39308.0,19654.0,1965.4,7861.6,9827.0,39308.0
8,Mar 2020,100.0,27445.6,10978.24,5489.12,44012.96,22006.48,2200.65,8802.59,11003.24,44012.96
8,Mar 2021,100.0,30739.07,12295.63,6147.81,49282.51,24641.26,2464.13,9856.5,12320.62,49282.51
8,Mar 2022,100.0,34427.76,13771.1,6885.55,55184.41,27592.21,2759.22,11036.88,13796.1,55184.41
8,Mar 2023,100.0,38559.09,15423.64,7711.82,61794.55,30897.28,3089.73,12358.91,15448.63,61794.55
8,Mar 2024,100.0,43186.19,17274.48,8637.24,69197.91,34598.96,3459.9,13839.58,17299.47,69197.91
9,Mar 2010,100.0,5007.75,2003.1,1001.55,8112.4,4056.2,405.62,1622.48,2028.1,8112.4
9,Mar 2011,100.0,5608.68,2243.47,1121.74,9073.89,4536.94,453.69,1814.78,2268.48,9073.89
9,Mar 2012,100.0,6281.72,2512.69,1256.34,10150.75,5075.38,507.54,2030.15,2537.68,10150.75
9,Mar 2013,100.0,7035.52,2814.21,1407.1,11356.83,5678.41,567.84,2271.37,2839.21,11356.83
9,Mar 2014,100.0,7879.79,3151.92,1575.96,12707.67,6353.84,635.38,2541.53,3176.92,12707.67
9,Mar 2015,100.0,8825.36,3530.14,1765.07,14220.57,7110.28,711.03,2844.11,3555.15,14220.57
9,Mar 2016,100.0,9884.41,3953.76,1976.88,15915.05,7957.52,795.75,3183.01,3978.77,15915.05
9,Mar 2017,100.0,11070.53,4428.21,2214.11,17812.85,8906.42,890.64,3562.57,4453.22,17812.85
9,Mar 2018,100.0,12399.0,4959.6,2479.8,19938.4,9969.2,996.92,3987.68,4984.6,19938.4
9,Mar 2019,100.0,13886.88,5554.75,2777.38,22319.01,11159.5,1115.95,4463.8,5579.76,22319.01
9,Mar 2020,100.0,15553.3,6221.32,3110.66,24985.28,12492.64,1249.26,4997.06,6246.32,24985.28
9,Mar 2021,100.0,17419.7,6967.88,3483.94,27971.52,13985.76,1398.58,5594.3,6992.88,27971.52
9,Mar 2022,100.0,19510.06,7804.02,3902.01,31316.09,15658.05,1565.8,6263.22,7829.02,31316.09
9,Mar 2023,100.0,21851.27,8740.51,4370.25,35062.03,17531.01,1753.1,7012.41,8765.51,35062.03
9,Mar 2024,100.0,24473.42,9789.37,4894.68,39257.47,19628.74,1962.87,7851.49,9814.37,39257.47
10,Mar 2010,100.0,5633.36,2253.34,1126.67,9113.37,4556.69,455.67,1822.67,2278.34,9113.37
10,Mar 2011,100.0,6309.36,2523.74,1261.87,10194.97,5097.48,509.75,2038.99,2548.75,10194.97
10,Mar 2012,100.0,7066.48,2826.59,1413.3,11406.37,5703.19,570.32,2281.27,2851.59,11406.37
10,Mar 2013,100.0,7914.46,3165.78,1582.89,12763.13,6381.56,638.16,2552.63,3190.78,12763.13
10,Mar 2014,100.0,8864.2,3545.68,1772.84,14282.72,7141.36,714.14,2856.54,3570.68,14282.72
10,Mar 2015,100.0,9927.9,3971.16,1985.58,15984.64,7992.32,799.23,3196.93,3996.16,15984.64
10,Mar 2016,100.0,11119.25,4447.7,2223.85,17890.8,8945.4,894.54,3578.16,4472.7,17890.8
10,Mar 2017,100.0,12453.56,4981.42,2490.71,20025.69,10012.84,1001.28,4005.14,5006.43,20025.69
10,Mar 2018,100.0,13947.98,5579.19,2789.6,22416.77,11208.39,1120.84,4483.35,5604.19,22416.77
10,Mar 2019,100.0,15621.74,6248.7,3124.35,25094.79,12547.4,1254.74,5018.96,6273.69,25094.79
10,Mar 2020,100.0,17496.35,6998.54,3499.27,28094.16,14047.08,1404.71,5618.83,7023.54,28094.16
10,Mar 2021,100.0,19595.91,7838.36,3919.18,31453.45,15726.73,1572.67,6290.69,7863.36,31453.45
10,Mar 2022,100.0,21947.42,8778.97,4389.48,35215.87,17607.94,1760.79,7043.17,8803.97,35215.87
10,Mar 2023,100.0,24581.11,9832.44,4916.22,39429.77,19714.88,1971.49,7885.95,9857.45,39429.77
10,Mar 2024,100.0,27530.84,11012.34,5506.17,44149.35,22074.67,2207.47,8829.87,11037.34,44149.35
11,Mar 2010,100.0,4233.1,1693.24,846.62,6872.96,3436.48,343.65,1374.59,1718.24,6872.96
11,Mar 2011,100.0,4741.07,1896.43,948.21,7685.71,3842.86,384.29,1537.14,1921.42,7685.71
11,Mar 2012,100.0,5310.0,2124.0,1062.0,8596.0,4298.0,429.8,1719.2,2149.0,8596.0
11,Mar 2013,100.0,5947.2,2378.88,1189.44,9615.52,4807.76,480.78,1923.1,2403.88,9615.52
11,Mar 2014,100.0,6660.87,2664.35,1332.17,10757.39,5378.69,537.87,2151.48,2689.35,10757.39
11,Mar 2015,100.0,7460.17,2984.07,1492.03,12036.27,6018.14,601.81,2407.25,3009.07,12036.27
11,Mar 2016,100.0,8355.39,3342.16,1671.08,13468.63,6734.31,673.43,2693.73,3367.16,13468.63
11,Mar 2017,100.0,9358.04,3743.22,1871.61,15072.87,7536.44,753.64,3014.57,3768.22,15072.87
