company_id,year,cfo,cfi,cff,net_cash_flow
1,2011-12,2575.46,-1545.28,-772.64,257.54
1,2012-13,3604.93,-2162.96,-1081.48,360.49
1,2013-14,1426.37,-855.82,-427.91,142.64
1,2014-15,3631.38,-2178.83,-1089.41,363.14
1,2015-16,4997.65,-2998.59,-1499.29,499.77
1,2016-17,1192.85,-715.71,-357.85,119.29
1,2017-18,4908.7,-2945.22,-1472.61,490.87
1,2018-19,2627.63,-1576.58,-788.29,262.76
1,2019-20,4483.01,-2689.81,-1344.9,448.3
1,2020-21,4129.54,-2477.72,-1238.86,412.96
1,2021-22,3268.07,-1960.84,-980.42,326.81
1,2022-23,3953.8,-2372.28,-1186.14,395.38
1,2023-24,4514.06,-2708.44,-1354.22,451.4
2,2011-12,2616.56,-1569.94,-784.97,261.65
2,2012-13,2308.13,-1384.88,-692.44,230.81
2,2013-14,3670.37,-2202.22,-1101.11,367.04
2,2014-15,4231.38,-2538.83,-1269.41,423.14
2,2015-16,4049.14,-2429.48,-1214.74,404.92
2,2016-17,4191.25,-2514.75,-1257.38,419.12
2,2017-18,2742.33,-1645.4,-822.7,274.23
2,2018-19,4271.34,-2562.8,-1281.4,427.14
2,2019-20,1480.84,-888.5,-444.25,148.09
2,2020-21,3177.96,-1906.78,-953.39,317.79
2,2021-22,1023.03,-613.82,-306.91,102.3
2,2022-23,2298.34,-1379.0,-689.5,229.84
2,2023-24,2465.85,-1479.51,-739.75,246.59
3,2011-12,2584.69,-1550.81,-775.41,258.47
3,2012-13,3781.87,-2269.12,-1134.56,378.19
3,2013-14,2554.23,-1532.54,-766.27,255.42
3,2014-15,2794.77,-1676.86,-838.43,279.48
3,2015-16,1950.18,-1170.11,-585.05,195.02
3,2016-17,2493.01,-1495.81,-747.9,249.3
3,2017-18,1909.08,-1145.45,-572.72,190.91
3,2018-19,1292.78,-775.67,-387.83,129.28
3,2019-20,3413.79,-2048.27,-1024.14,341.38
3,2020-21,3672.85,-2203.71,-1101.86,367.28
3,2021-22,3477.96,-2086.78,-1043.39,347.79
3,2022-23,2853.98,-1712.39,-856.19,285.4
3,2023-24,2519.14,-1511.48,-755.74,251.92
4,2011-12,4453.33,-2672.0,-1336.0,445.33
4,2012-13,3076.33,-1845.8,-922.9,307.63
4,2013-14,2916.73,-1750.04,-875.02,291.67
4,2014-15,1102.57,-661.54,-330.77,110.26
4,2015-16,2364.99,-1418.99,-709.5,236.5
4,2016-17,2520.78,-1512.47,-756.23,252.08
4,2017-18,2595.29,-1557.17,-778.59,259.53
4,2018-19,3320.69,-1992.41,-996.21,332.07
4,2019-20,3134.41,-1880.65,-940.32,313.44
4,2020-21,3431.62,-2058.97,-1029.49,343.16
4,2021-22,4059.53,-2435.72,-1217.86,405.95
4,2022-23,4251.94,-2551.16,-1275.58,425.2
4,2023-24,3872.49,-2323.49,-1161.75,387.25
5,2011-12,4822.09,-2893.25,-1446.63,482.21
5,2012-13,1072.93,-643.76,-321.88,107.29
5,2013-14,1783.11,-1069.87,-534.93,178.31
5,2014-15,1030.25,-618.15,-309.07,103.03
5,2015-16,3589.9,-2153.94,-1076.97,358.99
5,2016-17,4592.12,-2755.27,-1377.64,459.21
5,2017-18,1973.93,-1184.36,-592.18,197.39
5,2018-19,4708.14,-2824.88,-1412.44,470.82
5,2019-20,1241.07,-744.64,-372.32,124.11
5,2020-21,4737.74,-2842.64,-1421.32,473.78
5,2021-22,2406.49,-1443.89,-721.95,240.65
5,2022-23,1405.68,-843.41,-421.7,140.57
5,2023-24,2943.49,-1766.09,-883.05,294.35
6,2011-12,2027.11,-1216.27,-608.13,202.71
6,2012-13,2139.49,-1283.69,-641.85,213.95
6,2013-14,2229.16,-1337.5,-668.75,222.91
6,2014-15,4212.1,-2527.26,-1263.63,421.21
6,2015-16,3156.65,-1893.99,-947.0,315.66
6,2016-17,2245.23,-1347.14,-673.57,224.52
6,2017-18,3441.34,-2064.8,-1032.4,344.14
6,2018-19,3864.6,-2318.76,-1159.38,386.46
6,2019-20,2090.5,-1254.3,-627.15,209.05
6,2020-21,2654.2,-1592.52,-796.26,265.42
6,2021-22,1487.54,-892.52,-446.26,148.76
6,2022-23,1724.6,-1034.76,-517.38,172.46
6,2023-24,3724.47,-2234.68,-1117.34,372.45
7,2011-12,1725.75,-1035.45,-517.73,172.57
7,2012-13,3100.65,-1860.39,-930.19,310.07
7,2013-14,3836.19,-2301.71,-1150.86,383.62
7,2014-15,1427.51,-856.51,-428.25,142.75
7,2015-16,3269.25,-1961.55,-980.77,326.93
7,2016-17,2026.25,-1215.75,-607.88,202.62
7,2017-18,4851.71,-2911.03,-1455.51,485.17
7,2018-19,2934.18,-1760.51,-880.25,293.42
7,2019-20,4223.97,-2534.38,-1267.19,422.4
7,2020-21,3200.91,-1920.55,-960.27,320.09
7,2021-22,1173.65,-704.19,-352.1,117.36
7,2022-23,3532.61,-2119.57,-1059.78,353.26
7,2023-24,4805.61,-2883.37,-1441.68,480.56
8,2011-12,3406.45,-2043.87,-1021.93,340.65
8,2012-13,4276.76,-2566.06,-1283.03,427.67
8,2013-14,4536.83,-2722.1,-1361.05,453.68
8,2014-15,1912.32,-1147.39,-573.7,191.23
8,2015-16,1848.18,-1108.91,-554.45,184.82
8,2016-17,3443.92,-2066.35,-1033.18,344.39
8,2017-18,2644.11,-1586.47,-793.23,264.41
8,2018-19,4359.45,-2615.67,-1307.83,435.95
8,2019-20,4600.09,-2760.05,-1380.03,460.01
8,2020-21,2413.69,-1448.21,-724.11,241.37
8,2021-22,1947.48,-1168.49,-584.24,194.75
8,2022-23,4122.1,-2473.26,-1236.63,412.21
