company_id,title,doc_type,url
1,Annual Report FY24 - RELIANCE,Annual Report,https://www.reliance.com/reports/fy24.pdf
2,Annual Report FY24 - TCS,Annual Report,https://www.tcs.com/reports/fy24.pdf
3,Annual Report FY24 - HDFCBANK,Annual Report,https://www.hdfcbank.com/reports/fy24.pdf
4,Annual Report FY24 - ICICIBANK,Annual Report,https://www.icicibank.com/reports/fy24.pdf
5,Annual Report FY24 - INFY,Annual Report,https://www.infy.com/reports/fy24.pdf
6,Annual Report FY24 - BHARTIARTL,Annual Report,https://www.bhartiartl.com/reports/fy24.pdf
7,Annual Report FY24 - ITC,Annual Report,https://www.itc.com/reports/fy24.pdf
8,Annual Report FY24 - SBIN,Annual Report,https://www.sbin.com/reports/fy24.pdf
9,Annual Report FY24 - LTIM,Annual Report,https://www.ltim.com/reports/fy24.pdf
10,Annual Report FY24 - HINDUNILVR,Annual Report,https://www.hindunilvr.com/reports/fy24.pdf
11,Annual Report FY24 - LT,Annual Report,https://www.lt.com/reports/fy24.pdf
12,Annual Report FY24 - BAJFINANCE,Annual Report,https://www.bajfinance.com/reports/fy24.pdf
13,Annual Report FY24 - HCLTECH,Annual Report,https://www.hcltech.com/reports/fy24.pdf
14,Annual Report FY24 - MARUTI,Annual Report,https://www.maruti.com/reports/fy24.pdf
15,Annual Report FY24 - SUNPHARMA,Annual Report,https://www.sunpharma.com/reports/fy24.pdf
16,Annual Report FY24 - AXISBANK,Annual Report,https://www.axisbank.com/reports/fy24.pdf
17,Annual Report FY24 - ADANIENT,Annual Report,https://www.adanient.com/reports/fy24.pdf
18,Annual Report FY24 - KOTAKBANK,Annual Report,https://www.kotakbank.com/reports/fy24.pdf
19,Annual Report FY24 - TITAN,Annual Report,https://www.titan.com/reports/fy24.pdf
20,Annual Report FY24 - ONGC,Annual Report,https://www.ongc.com/reports/fy24.pdf
21,Annual Report FY24 - TATAMOTORS,Annual Report,https://www.tatamotors.com/reports/fy24.pdf
22,Annual Report FY24 - NTPC,Annual Report,https://www.ntpc.com/reports/fy24.pdf
23,Annual Report FY24 - POWERGRID,Annual Report,https://www.powergrid.com/reports/fy24.pdf
24,Annual Report FY24 - ULTRACEMCO,Annual Report,https://www.ultracemco.com/reports/fy24.pdf
25,Annual Report FY24 - ASIANPAINT,Annual Report,https://www.asianpaint.com/reports/fy24.pdf
26,Annual Report FY24 - COALINDIA,Annual Report,https://www.coalindia.com/reports/fy24.pdf
27,Annual Report FY24 - BAJAJFINSV,Annual Report,https://www.bajajfinsv.com/reports/fy24.pdf
28,Annual Report FY24 - M_M,Annual Report,https://www.mm.com/reports/fy24.pdf
29,Annual Report FY24 - JSWSTEEL,Annual Report,https://www.jswsteel.com/reports/fy24.pdf
30,Annual Report FY24 - TATASTEEL,Annual Report,https://www.tatasteel.com/reports/fy24.pdf
