company_id,year,pe_ratio,pb_ratio,roe_pct,roce_pct,debt_to_equity
1,FY11,28.46,5.19,16.5,20.2,0.35
1,FY12,42.02,5.31,16.5,20.2,0.35
1,FY13,22.66,4.61,16.5,20.2,0.35
1,FY14,30.49,2.58,16.5,20.2,0.35
1,FY15,37.31,2.66,16.5,20.2,0.35
1,FY16,27.15,6.83,16.5,20.2,0.35
1,FY17,29.03,7.05,16.5,20.2,0.35
1,FY18,25.26,7.75,16.5,20.2,0.35
1,FY19,21.28,2.23,16.5,20.2,0.35
1,FY20,41.17,6.51,16.5,20.2,0.35
1,FY21,21.96,7.91,16.5,20.2,0.35
1,FY22,30.07,7.71,16.5,20.2,0.35
1,FY23,30.15,4.83,16.5,20.2,0.35
1,FY24,28.47,4.01,16.5,20.2,0.35
2,FY11,31.01,4.72,16.5,20.2,0.35
2,FY12,16.1,3.56,16.5,20.2,0.35
2,FY13,21.39,7.2,16.5,20.2,0.35
2,FY14,32.97,6.58,16.5,20.2,0.35
2,FY15,43.7,5.86,16.5,20.2,0.35
2,FY16,44.48,3.87,16.5,20.2,0.35
2,FY17,20.59,4.42,16.5,20.2,0.35
2,FY18,29.12,7.37,16.5,20.2,0.35
2,FY19,31.8,3.75,16.5,20.2,0.35
2,FY20,37.28,5.03,16.5,20.2,0.35
2,FY21,19.86,5.46,16.5,20.2,0.35
2,FY22,42.34,7.06,16.5,20.2,0.35
2,FY23,32.6,4.26,16.5,20.2,0.35
2,FY24,17.61,4.82,16.5,20.2,0.35
3,FY11,37.56,4.16,16.5,20.2,0.35
3,FY12,22.06,7.59,16.5,20.2,0.35
3,FY13,39.65,5.83,16.5,20.2,0.35
3,FY14,19.1,2.87,16.5,20.2,0.35
3,FY15,18.1,5.7,16.5,20.2,0.35
3,FY16,18.47,7.06,16.5,20.2,0.35
3,FY17,44.79,4.2,16.5,20.2,0.35
3,FY18,28.61,6.27,16.5,20.2,0.35
3,FY19,43.11,7.36,16.5,20.2,0.35
3,FY20,16.73,3.01,16.5,20.2,0.35
3,FY21,37.64,6.13,16.5,20.2,0.35
3,FY22,19.0,5.01,16.5,20.2,0.35
3,FY23,38.42,3.31,16.5,20.2,0.35
3,FY24,41.14,2.32,16.5,20.2,0.35
4,FY11,38.47,5.69,16.5,20.2,0.35
4,FY12,24.46,6.33,16.5,20.2,0.35
4,FY13,38.47,7.6,16.5,20.2,0.35
4,FY14,26.03,6.12,16.5,20.2,0.35
4,FY15,33.08,5.15,16.5,20.2,0.35
4,FY16,41.71,2.02,16.5,20.2,0.35
4,FY17,23.46,5.23,16.5,20.2,0.35
4,FY18,20.35,7.45,16.5,20.2,0.35
4,FY19,34.43,4.87,16.5,20.2,0.35
4,FY20,39.44,4.71,16.5,20.2,0.35
4,FY21,31.76,2.02,16.5,20.2,0.35
4,FY22,25.97,2.83,16.5,20.2,0.35
4,FY23,35.69,4.87,16.5,20.2,0.35
4,FY24,24.05,4.81,16.5,20.2,0.35
5,FY11,21.29,7.55,16.5,20.2,0.35
5,FY12,16.62,7.19,16.5,20.2,0.35
5,FY13,30.34,5.71,16.5,20.2,0.35
5,FY14,24.08,7.8,16.5,20.2,0.35
5,FY15,23.46,5.53,16.5,20.2,0.35
5,FY16,44.8,7.29,16.5,20.2,0.35
5,FY17,31.09,7.94,16.5,20.2,0.35
5,FY18,36.04,3.25,16.5,20.2,0.35
5,FY19,27.17,4.01,16.5,20.2,0.35
5,FY20,25.32,6.56,16.5,20.2,0.35
5,FY21,32.53,2.23,16.5,20.2,0.35
5,FY22,41.32,3.78,16.5,20.2,0.35
5,FY23,44.91,7.73,16.5,20.2,0.35
5,FY24,43.22,6.87,16.5,20.2,0.35
6,FY11,21.62,5.2,16.5,20.2,0.35
6,FY12,21.73,3.56,16.5,20.2,0.35
6,FY13,33.33,2.25,16.5,20.2,0.35
6,FY14,44.08,7.51,16.5,20.2,0.35
6,FY15,26.42,5.09,16.5,20.2,0.35
6,FY16,28.98,7.29,16.5,20.2,0.35
6,FY17,35.66,3.67,16.5,20.2,0.35
6,FY18,28.41,4.57,16.5,20.2,0.35
6,FY19,43.78,3.05,16.5,20.2,0.35
6,FY20,17.69,7.28,16.5,20.2,0.35
6,FY21,41.9,7.23,16.5,20.2,0.35
6,FY22,30.33,5.96,16.5,20.2,0.35
6,FY23,31.9,2.42,16.5,20.2,0.35
6,FY24,32.88,2.08,16.5,20.2,0.35
7,FY11,24.75,7.59,16.5,20.2,0.35
7,FY12,24.12,7.64,16.5,20.2,0.35
7,FY13,22.5,3.89,16.5,20.2,0.35
7,FY14,33.85,6.57,16.5,20.2,0.35
7,FY15,30.04,7.29,16.5,20.2,0.35
7,FY16,16.21,7.53,16.5,20.2,0.35
