company_id,year,sales,expenses,operating_profit,opm_pct,other_income,interest,depreciation,pbt,tax,pat,eps_inr,dividend_payout_pct
1,FY11,21854.31,15907.75,5946.56,27.21,437.09,655.63,874.17,4853.85,1213.46,3640.39,36.4,30.0
1,FY12,24039.74,18339.92,5699.82,23.71,480.79,721.19,961.59,4497.83,1124.46,3373.37,33.73,30.0
1,FY13,26443.71,20737.16,5706.55,21.58,528.87,793.31,1057.75,4384.36,1096.09,3288.27,32.88,30.0
1,FY14,29088.08,24870.31,4217.77,14.5,581.76,872.64,1163.52,2763.37,690.84,2072.53,20.73,30.0
1,FY15,31996.89,27357.34,4639.55,14.5,639.94,959.91,1279.88,3039.7,759.92,2279.78,22.8,30.0
1,FY16,35196.58,30645.66,4550.92,12.93,703.93,1055.9,1407.86,2791.09,697.77,2093.32,20.93,30.0
1,FY17,38716.24,28704.22,10012.02,25.86,774.32,1161.49,1548.65,8076.2,2019.05,6057.15,60.57,30.0
1,FY18,42587.86,33380.36,9207.5,21.62,851.76,1277.64,1703.51,7078.11,1769.53,5308.58,53.09,30.0
1,FY19,46846.64,35917.32,10929.32,23.33,936.93,1405.4,1873.87,8586.98,2146.74,6440.24,64.4,30.0
1,FY20,51531.31,45177.5,6353.81,12.33,1030.63,1545.94,2061.25,3777.25,944.31,2832.94,28.33,30.0
1,FY21,56684.44,41084.88,15599.56,27.52,1133.69,1700.53,2267.38,12765.34,3191.34,9574.0,95.74,30.0
1,FY22,62352.88,46565.13,15787.75,25.32,1247.06,1870.59,2494.12,12670.1,3167.53,9502.57,95.03,30.0
1,FY23,68588.17,58025.59,10562.58,15.4,1371.76,2057.65,2743.53,7133.16,1783.29,5349.87,53.5,30.0
1,FY24,75446.99,64197.84,11249.15,14.91,1508.94,2263.41,3017.88,7476.8,1869.2,5607.6,56.08,30.0
2,FY11,13253.2,11017.39,2235.81,16.87,265.06,397.6,530.13,1573.14,393.29,1179.85,11.8,30.0
2,FY12,14578.52,11604.5,2974.02,20.4,291.57,437.36,583.14,2245.09,561.27,1683.82,16.84,30.0
2,FY13,16036.38,13003.9,3032.48,18.91,320.73,481.09,641.46,2230.66,557.66,1673.0,16.73,30.0
2,FY14,17640.01,14701.18,2938.83,16.66,352.8,529.2,705.6,2056.83,514.21,1542.62,15.43,30.0
2,FY15,19404.01,15175.88,4228.13,21.79,388.08,582.12,776.16,3257.93,814.48,2443.45,24.43,30.0
2,FY16,21344.42,18307.11,3037.31,14.23,426.89,640.33,853.78,1970.09,492.52,1477.57,14.78,30.0
2,FY17,23478.86,19564.93,3913.93,16.67,469.58,704.37,939.15,2739.99,685.0,2054.99,20.55,30.0
2,FY18,25826.74,21214.08,4612.66,17.86,516.53,774.8,1033.07,3321.32,830.33,2490.99,24.91,30.0
2,FY19,28409.42,22926.4,5483.02,19.3,568.19,852.28,1136.38,4062.55,1015.64,3046.91,30.47,30.0
2,FY20,31250.36,23575.27,7675.09,24.56,625.01,937.51,1250.01,6112.58,1528.14,4584.44,45.84,30.0
2,FY21,34375.4,29153.78,5221.62,15.19,687.51,1031.26,1375.02,3502.85,875.71,2627.14,26.27,30.0
2,FY22,37812.93,30163.37,7649.56,20.23,756.26,1134.39,1512.52,5758.91,1439.73,4319.18,43.19,30.0
2,FY23,41594.23,32659.79,8934.44,21.48,831.88,1247.83,1663.77,6854.72,1713.68,5141.04,51.41,30.0
2,FY24,45753.65,39924.63,5829.02,12.74,915.07,1372.61,1830.15,3541.33,885.33,2656.0,26.56,30.0
3,FY11,32339.52,27575.91,4763.61,14.73,646.79,970.19,1293.58,3146.63,786.66,2359.97,23.6,30.0
