company_id,type,description
1,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
1,CON,Stock is trading at 4.2x its book value
2,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
2,CON,Stock is trading at 4.2x its book value
3,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
3,CON,Stock is trading at 4.2x its book value
4,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
4,CON,Stock is trading at 4.2x its book value
5,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
5,CON,Stock is trading at 4.2x its book value
6,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
6,CON,Stock is trading at 4.2x its book value
7,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
7,CON,Stock is trading at 4.2x its book value
8,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
8,CON,Stock is trading at 4.2x its book value
9,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
9,CON,Stock is trading at 4.2x its book value
10,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
10,CON,Stock is trading at 4.2x its book value
11,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
11,CON,Stock is trading at 4.2x its book value
12,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
12,CON,Stock is trading at 4.2x its book value
13,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
13,CON,Stock is trading at 4.2x its book value
14,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
14,CON,Stock is trading at 4.2x its book value
15,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
15,CON,Stock is trading at 4.2x its book value
16,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
16,CON,Stock is trading at 4.2x its book value
17,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
17,CON,Stock is trading at 4.2x its book value
18,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
18,CON,Stock is trading at 4.2x its book value
19,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
19,CON,Stock is trading at 4.2x its book value
20,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
20,CON,Stock is trading at 4.2x its book value
21,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
21,CON,Stock is trading at 4.2x its book value
22,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
22,CON,Stock is trading at 4.2x its book value
23,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
23,CON,Stock is trading at 4.2x its book value
24,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
24,CON,Stock is trading at 4.2x its book value
25,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
25,CON,Stock is trading at 4.2x its book value
26,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
26,CON,Stock is trading at 4.2x its book value
27,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
27,CON,Stock is trading at 4.2x its book value
28,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
28,CON,Stock is trading at 4.2x its book value
29,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
29,CON,Stock is trading at 4.2x its book value
30,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
30,CON,Stock is trading at 4.2x its book value
31,PRO,Company has good return on equity (ROE) track record: 3 Years ROE 16.5%
31,CON,Stock is trading at 4.2x its book value
