amfi_code,scheme_name,fund_house,category,sub_category,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,max_drawdown_pct,worst_dd_period,expense_ratio_pct,fund_score,overall_rank
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,29.6,31.78,32.83,0.88,1.29,29.26,0.0,-18.19,2024-10-24 to 2025-01-23,1.36,85.1,1
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,22.26,35.11,28.21,0.73,1.06,26.08,-0.07,-20.96,2022-04-14 to 2022-08-11,1.38,82.0,2
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,53.23,32.44,30.12,0.81,1.14,27.2,0.01,-16.22,2022-03-11 to 2022-05-12,1.38,80.5,3
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,20.36,34.0,30.97,1.07,1.49,26.98,0.02,-11.27,2023-07-11 to 2023-10-20,1.46,80.0,4
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,26.66,29.58,30.91,0.97,1.48,27.33,-0.02,-12.97,2022-03-07 to 2022-04-13,1.45,78.3,5
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,82.78,26.67,32.42,0.71,1.07,30.34,-0.02,-28.71,2024-08-28 to 2025-05-14,1.43,76.4,6
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,65.14,27.0,32.29,0.71,1.03,30.06,0.01,-31.17,2024-05-03 to 2025-01-03,1.52,75.6,7
120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,13.06,32.49,23.3,0.71,1.06,21.19,0.02,-12.59,2022-10-04 to 2023-05-30,0.8,74.5,8
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,39.75,29.18,31.95,0.92,1.35,28.27,0.02,-16.4,2023-08-10 to 2023-10-20,1.6,73.9,9
119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,60.44,30.46,25.8,0.86,1.29,23.2,-0.03,-15.01,2023-08-24 to 2024-02-05,1.54,72.4,10
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,33.98,22.65,24.05,0.76,1.1,21.83,-0.01,-17.41,2024-01-02 to 2024-07-19,1.51,67.8,11
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,21.48,26.87,29.58,0.83,1.17,26.6,-0.0,-17.25,2022-06-06 to 2022-10-24,1.61,67.5,12
101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,47.92,28.97,23.54,0.72,1.06,21.4,0.02,-11.29,2023-04-24 to 2023-07-05,1.6,61.8,13
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,25.54,21.09,16.27,0.39,0.59,15.64,-0.04,-18.63,2023-10-30 to 2024-02-29,0.72,61.6,14
119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,5.71,16.27,21.52,0.65,0.93,19.87,-0.03,-11.8,2024-05-21 to 2024-09-02,0.66,60.0,15
125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,28.68,18.43,19.02,0.51,0.73,17.73,0.05,-15.2,2023-12-22 to 2025-01-01,0.92,58.0,16
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,41.82,18.42,17.08,0.4,0.58,16.25,0.04,-19.83,2023-03-31 to 2023-08-14,1.41,55.0,17
119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,19.77,20.82,7.9,-0.05,-0.07,8.23,0.03,-21.75,2022-02-24 to 2023-05-22,0.75,53.5,18
118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,22.49,20.01,15.96,0.39,0.57,15.14,-0.0,-11.65,2022-01-03 to 2022-06-09,0.89,52.8,19
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,14.27,14.75,22.52,0.64,0.96,20.87,-0.03,-15.27,2023-09-05 to 2024-01-24,1.52,52.7,20
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,13.58,25.56,16.84,0.38,0.57,16.21,0.02,-21.54,2022-01-03 to 2022-07-04,1.64,50.9,21
120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,8.49,13.98,18.79,0.52,0.73,17.7,-0.04,-13.9,2023-09-19 to 2023-11-09,1.42,50.7,22
102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,20.21,19.67,18.23,0.52,0.77,17.05,-0.02,-10.86,2022-02-03 to 2022-03-29,1.57,47.9,23
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,15.44,11.25,11.3,0.13,0.19,11.99,0.01,-21.12,2025-04-04 to 2025-09-12,0.78,47.0,24
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,15.81,8.01,16.37,0.29,0.41,17.5,0.1,-23.34,2025-04-09 to 2026-02-20,1.53,45.9,25
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,18.11,18.04,13.39,0.24,0.33,13.17,-0.0,-14.84,2022-01-03 to 2022-02-04,1.54,41.4,26
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,16.84,17.27,13.53,0.26,0.38,13.04,0.04,-17.57,2024-01-09 to 2025-02-14,1.59,41.1,27
