company_id,metric_type,period_years,value_pct
1,compounded_sales_growth,5,12.5
2,compounded_sales_growth,5,12.5
3,compounded_sales_growth,5,12.5
4,compounded_sales_growth,5,12.5
5,compounded_sales_growth,5,12.5
6,compounded_sales_growth,5,12.5
7,compounded_sales_growth,5,12.5
8,compounded_sales_growth,5,12.5
9,compounded_sales_growth,5,12.5
10,compounded_sales_growth,5,12.5
11,compounded_sales_growth,5,12.5
12,compounded_sales_growth,5,12.5
13,compounded_sales_growth,5,12.5
14,compounded_sales_growth,5,12.5
15,compounded_sales_growth,5,12.5
16,compounded_sales_growth,5,12.5
17,compounded_sales_growth,5,12.5
18,compounded_sales_growth,5,12.5
19,compounded_sales_growth,5,12.5
20,compounded_sales_growth,5,12.5
21,compounded_sales_growth,5,12.5
22,compounded_sales_growth,5,12.5
23,compounded_sales_growth,5,12.5
24,compounded_sales_growth,5,12.5
25,compounded_sales_growth,5,12.5
26,compounded_sales_growth,5,12.5
27,compounded_sales_growth,5,12.5
28,compounded_sales_growth,5,12.5
29,compounded_sales_growth,5,12.5
30,compounded_sales_growth,5,12.5
31,compounded_sales_growth,5,12.5
32,compounded_sales_growth,5,12.5
33,compounded_sales_growth,5,12.5
34,compounded_sales_growth,5,12.5
35,compounded_sales_growth,5,12.5
36,compounded_sales_growth,5,12.5
37,compounded_sales_growth,5,12.5
38,compounded_sales_growth,5,12.5
39,compounded_sales_growth,5,12.5
40,compounded_sales_growth,5,12.5
41,compounded_sales_growth,5,12.5
42,compounded_sales_growth,5,12.5
43,compounded_sales_growth,5,12.5
44,compounded_sales_growth,5,12.5
45,compounded_sales_growth,5,12.5
46,compounded_sales_growth,5,12.5
47,compounded_sales_growth,5,12.5
48,compounded_sales_growth,5,12.5
49,compounded_sales_growth,5,12.5
50,compounded_sales_growth,5,12.5
51,compounded_sales_growth,5,12.5
52,compounded_sales_growth,5,12.5
53,compounded_sales_growth,5,12.5
54,compounded_sales_growth,5,12.5
55,compounded_sales_growth,5,12.5
56,compounded_sales_growth,5,12.5
57,compounded_sales_growth,5,12.5
58,compounded_sales_growth,5,12.5
59,compounded_sales_growth,5,12.5
60,compounded_sales_growth,5,12.5
61,compounded_sales_growth,5,12.5
62,compounded_sales_growth,5,12.5
63,compounded_sales_growth,5,12.5
64,compounded_sales_growth,5,12.5
65,compounded_sales_growth,5,12.5
66,compounded_sales_growth,5,12.5
67,compounded_sales_growth,5,12.5
68,compounded_sales_growth,5,12.5
69,compounded_sales_growth,5,12.5
70,compounded_sales_growth,5,12.5
71,compounded_sales_growth,5,12.5
72,compounded_sales_growth,5,12.5
73,compounded_sales_growth,5,12.5
74,compounded_sales_growth,5,12.5
75,compounded_sales_growth,5,12.5
76,compounded_sales_growth,5,12.5
77,compounded_sales_growth,5,12.5
78,compounded_sales_growth,5,12.5
79,compounded_sales_growth,5,12.5
80,compounded_sales_growth,5,12.5
81,compounded_sales_growth,5,12.5
82,compounded_sales_growth,5,12.5
83,compounded_sales_growth,5,12.5
84,compounded_sales_growth,5,12.5
85,compounded_sales_growth,5,12.5
86,compounded_sales_growth,5,12.5
87,compounded_sales_growth,5,12.5
88,compounded_sales_growth,5,12.5
89,compounded_sales_growth,5,12.5
90,compounded_sales_growth,5,12.5
91,compounded_sales_growth,5,12.5
92,compounded_sales_growth,5,12.5
