company_id,ticker,company_name,sector,cluster_id,cluster_name,distance_from_centroid
1,RELIANCE,RELIANCE India Limited,IT,1,Defensive Dividend Payers,0.154
2,TCS,TCS India Limited,Oil & Gas,1,Defensive Dividend Payers,0.5143
3,HDFCBANK,HDFCBANK India Limited,Consumer Goods,1,Defensive Dividend Payers,0.3323
4,ICICIBANK,ICICIBANK India Limited,Automobile,1,Defensive Dividend Payers,0.9183
5,INFY,INFY India Limited,Metals,2,Value Cyclicals,0.3602
6,BHARTIARTL,BHARTIARTL India Limited,Pharma,2,Value Cyclicals,0.9343
7,ITC,ITC India Limited,Power,2,Value Cyclicals,0.5537
8,SBIN,SBIN India Limited,Construction,2,Value Cyclicals,0.8527
9,LTIM,LTIM India Limited,Financial Services,2,Value Cyclicals,0.9872
10,HINDUNILVR,HINDUNILVR India Limited,IT,1,Defensive Dividend Payers,0.3758
11,LT,LT India Limited,Oil & Gas,1,Defensive Dividend Payers,0.3804
12,BAJFINANCE,BAJFINANCE India Limited,Consumer Goods,1,Defensive Dividend Payers,0.1475
13,HCLTECH,HCLTECH India Limited,Automobile,1,Defensive Dividend Payers,0.6115
14,MARUTI,MARUTI India Limited,Metals,1,Defensive Dividend Payers,0.1684
15,SUNPHARMA,SUNPHARMA India Limited,Pharma,1,Defensive Dividend Payers,0.362
16,AXISBANK,AXISBANK India Limited,Power,1,Defensive Dividend Payers,0.1277
17,ADANIENT,ADANIENT India Limited,Construction,1,Defensive Dividend Payers,0.0488
18,KOTAKBANK,KOTAKBANK India Limited,Financial Services,1,Defensive Dividend Payers,0.4315
19,TITAN,TITAN India Limited,IT,2,Value Cyclicals,0.5757
20,ONGC,ONGC India Limited,Oil & Gas,1,Defensive Dividend Payers,0.4402
21,TATAMOTORS,TATAMOTORS India Limited,Consumer Goods,2,Value Cyclicals,0.6548
22,NTPC,NTPC India Limited,Automobile,1,Defensive Dividend Payers,0.2527
23,POWERGRID,POWERGRID India Limited,Metals,1,Defensive Dividend Payers,0.7598
24,ULTRACEMCO,ULTRACEMCO India Limited,Pharma,4,Emerging Growth,0.1623
25,ASIANPAINT,ASIANPAINT India Limited,Power,1,Defensive Dividend Payers,0.395
26,COALINDIA,COALINDIA India Limited,Construction,2,Value Cyclicals,0.2189
27,BAJAJFINSV,BAJAJFINSV India Limited,Financial Services,1,Defensive Dividend Payers,0.9462
28,M_M,M_M India Limited,IT,2,Value Cyclicals,0.2018
29,JSWSTEEL,JSWSTEEL India Limited,Oil & Gas,1,Defensive Dividend Payers,0.346
30,TATASTEEL,TATASTEEL India Limited,Consumer Goods,1,Defensive Dividend Payers,0.468
31,ADANIPORTS,ADANIPORTS India Limited,Automobile,2,Value Cyclicals,0.8763
32,SIEMENS,SIEMENS India Limited,Metals,2,Value Cyclicals,0.8168
33,GRASIM,GRASIM India Limited,Pharma,4,Emerging Growth,1.058
34,PIDILITIND,PIDILITIND India Limited,Power,2,Value Cyclicals,0.6717
