metric,P10,P25,P50_Median,P75,P90,Mean,StdDev
return_on_equity_pct,13.36,23.04,41.23,68.97,163.07,62.49,66.64
return_on_capital_employed_pct,20.99,35.76,62.67,98.26,227.85,90.19,91.46
net_profit_margin_pct,6.02,6.88,9.3,13.26,15.31,10.23,3.6
debt_to_equity,0.4,0.4,0.4,0.4,0.4,0.4,0.0
operating_profit_margin_pct,13.02,14.17,17.4,22.69,25.41,18.63,4.79
interest_coverage,5.0,5.39,6.46,8.23,9.14,6.88,1.6
revenue_cagr_5yr,10.0,10.0,10.0,10.0,10.0,10.0,0.0
pat_cagr_5yr,-6.11,-2.22,8.25,13.77,21.13,7.37,10.6
eps_cagr_5yr,-6.11,-2.22,8.25,13.77,21.12,7.37,10.6
pe_ratio,17.91,21.49,26.24,30.8,33.51,26.19,5.68
