amfi_code,scheme_name,fund_house,category,daily_mean_ret_pct,daily_std_dev_pct,var_95_pct,cvar_95_pct,min_daily_return_pct,max_daily_return_pct
101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,0.0303,1.3741,-2.39,-3.03,-5.18,5.49
119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.013,1.3351,-2.33,-2.97,-4.84,4.31
119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,0.0144,1.3289,-2.32,-3.02,-4.54,5.33
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,0.0506,1.3447,-2.28,-2.99,-5.81,5.93
149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.0854,1.3241,-2.15,-2.86,-4.89,4.85
119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,0.0859,1.3401,-2.15,-2.84,-4.52,6.47
119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,0.0734,1.0347,-1.7,-2.24,-4.08,4.16
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,0.0772,1.0097,-1.69,-2.18,-4.42,4.2
102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.0079,0.9659,-1.69,-2.18,-3.67,4.07
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.0223,0.9532,-1.69,-2.13,-4.03,3.77
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,0.0341,0.9777,-1.68,-2.15,-4.52,3.62
120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,0.083,1.0288,-1.62,-2.24,-3.84,4.08
149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,0.0754,0.9464,-1.59,-2.09,-3.01,4.2
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,0.0804,0.9427,-1.53,-1.99,-3.13,3.92
102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,0.0461,0.8398,-1.37,-1.8,-3.13,3.24
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,0.059,0.8226,-1.33,-1.74,-2.61,3.14
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,0.0773,0.8475,-1.33,-1.71,-2.97,3.36
149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,0.0373,0.7648,-1.3,-1.7,-3.67,2.94
120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,0.0465,0.8117,-1.3,-1.78,-3.32,4.38
100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,0.0101,0.7749,-1.29,-1.68,-2.47,3.21
119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,0.0197,0.7431,-1.27,-1.62,-2.34,3.36
